topic,rank,word,is_name
30,4,clay,0
30,5,worship,0
30,6,justice,0
30,7,turf,1
30,8,mr,0
30,9,hun,0
30,10,valentine,1
31,1,cardinal,0
31,2,pope,0
31,3,king,0
31,4,lord,0
31,5,majesty,0
31,6,holy,0
31,7,rome,0
31,8,france,0
31,9,church,0
31,10,lords,0
32,1,ring,0
32,2,ti,0
32,3,gave,0
32,4,finger,0
32,5,jewel,0
32,6,lady,0
32,7,lord,0
32,8,love,0
32,9,invisible,0
32,10,away,0
33,1,daughter,0
33,2,marriage,0
33,3,father,0
33,4,love,0
33,5,davus,1
33,6,matter,0
33,7,son,0
33,8,chremes,1
33,9,wife,0
33,10,mother,0
34,1,thebes,0
34,2,antigone,1
34,3,polynices,1
34,4,creon,1
34,5,eteocles,1
34,6,war,0
34,7,theban,0
34,8,gods,0
34,9,dear,0
34,10,country,0
35,1,fool,0
35,2,wit,0
35,3,aristippus,1
35,4,achilles,0
35,5,wise,0
35,6,fools,0
35,7,patroclus,1
35,8,thersites,1
35,9,master,0
35,10,men,0
36,1,hell,0
36,2,earth,0
36,3,gods,0
36,4,death,0
36,5,ghosts,0
36,6,blood,0
36,7,bloody,0
36,8,heaven,0
36,9,night,0
36,10,ghost,0
37,1,wealth,0
37,2,riches,0
37,3,money,0
37,4,god,0
37,5,rich,0
37,6,poverty,0
37,7,men,0
37,8,learning,0
37,9,poor,0
37,10,ic,0
38,1,queen,0
38,2,king,0
38,3,death,0
38,4,dead,0
38,5,heart,0
38,6,life,0
38,7,die,0
38,8,lord,0
38,9,royal,0
38,10,news,0
39,1,conscience,0
39,2,lucre,0
39,3,usury,0
39,4,lucar,1
39,5,fraud,0
39,6,dissimulation,1
39,7,simony,0
39,8,london,0
39,9,lady,0
39,10,nemo,1
40,1,brother,0
40,2,death,0
40,3,life,0
40,4,die,0
40,5,heaven,0
40,6,sin,0
40,7,live,0
40,8,father,0
40,9,blood,0
40,10,soul,0
41,1,master,0
41,2,house,0
41,3,door,0
41,4,iohn,1
41,5,old,0
41,6,mistress,0
41,7,basket,0
41,8,lord,0
41,9,gentleman,0
41,10,ick,0
42,1,harry,0
42,2,percy,1
42,3,lord,0
42,4,king,0
42,5,god,0
42,6,falstalffe,1
42,7,frances,1
42,8,mowbray,1
42,9,life,0
42,10,mortimer,1
43,1,henry,1
43,2,king,0
43,3,richard,1
43,4,warwick,1
43,5,york,1
43,6,edward,1
43,7,father,0
43,8,duke,0
43,9,crown,0
43,10,son,0
44,1,drink,0
44,2,wine,0
44,3,numps,0
44,4,ale,0
44,5,butler,0
44,6,pot,0
44,7,sing,0
44,8,moy,0
44,9,drunk,0
44,10,win,0
45,1,widow,0
45,2,widows,0
45,3,hoord,1
45,4,master,0
45,5,gentlemen,0
45,6,wife,0
45,7,randalls,1
45,8,wit,0
45,9,mistress,0
