TCP,record_type,id,deep_id,edition_id,variant_edition_id,play_edition,book_edition,work_id,title_id,title.1,author.1,authors_display,genre_brit_filter,play_type_filter,in_collection_id,collection_contains,total_editions,year_int,date_first_publication,greg_full,in_collection,metadata_repaired,metadata_added_from
A11909.10,Play in Collection,85,5015.10,134,2364,1,,81,85,Hercules Oetaeus (Hercules on Mount Oeta) (Seneca's Tenth Tragedy),"Seneca, Lucius AnnaeusStudley, John","Studley, John, trans.; Seneca, Lucius Annaeus",tragedy,Translation;Nonprofessional;Closet/Unacted,630,,1 quarto in collection,1581,1581,81a,Ten Tragedies (1581),False,DEEP official export https://deepplaybooks.org/assets/data/item_data.json @ 2026-09-07T02:16:06.368380+00:00 sha256 10005117a761
A16527.5,Play in Collection,,5060.01,491,,1,,209,,Croesus,"Alexander, William","Alexander, William",tragedy,Closet/Unacted;Nonprofessional,,,,1604,1604,,The Monarchic Tragedies (1604; reissued 1607 = DEEP 5061),True,DEEP official export https://deepplaybooks.org/assets/data/item_data.json accessed 2026-09-07 sha256 10005117a761 (ChatGPT corpus_v1 review official_reconnections.json); replaces corrupt local rows A16527.1/.2 (duplicates of 5061.01)
A16527.6,Play in Collection,,5060.02,446,,1,,196,,Darius,"Alexander, William","Alexander, William",tragedy,Closet/Unacted;Nonprofessional,,,,1604,1604,,The Monarchic Tragedies (1604; reissued 1607 = DEEP 5061),True,DEEP official export https://deepplaybooks.org/assets/data/item_data.json accessed 2026-09-07 sha256 10005117a761 (ChatGPT corpus_v1 review official_reconnections.json); replaces corrupt local rows A16527.1/.2 (duplicates of 5061.01)
