topic,label,dominant_work,dominant_work_genre,dominant_share_of_topic_words,highest_with,mean_highest_with,second_with,mean_second_with,p_with,highest_without,mean_original_highest_without,second_without,mean_second_without,p_without,its_genre_mean_with,its_genre_mean_without,its_genre_works_with_topic_with,its_genre_works_with_topic_without,its_genre_n_works_with,its_genre_n_works_without,verdict
20,"Hercules: labours, suffering and virtue",Hercules Oetaeus (Hercules on Mount Oeta) (Seneca's Tenth Tragedy),tragedy,0.39,tragedy,0.01295,masque,0.01127,0.0884,masque,0.00607,tragedy,0.00607,0.08399,0.01295,0.00607,6,5,111,110,highest genre changes: tragedy → masque (tragedy: 1.29 % → 0.61 %; masque: 1.13 %)
24,"Apollo, Phoebus and the Muses",Apollo Shroving,comedy,0.347,masque,0.03381,comedy,0.00962,0.16508,masque,0.03381,pastoral,0.00937,0.16371,0.00962,0.00546,12,11,151,150,"highest genre unchanged (masque: 3.38 % → 3.38 %, -0 %)"
25,"Kings, power and law: political sententiae",Mustapha,tragedy,0.358,tragedy,0.01499,tragicomedy,0.00247,<1e-5,tragedy,0.00947,tragicomedy,0.00247,<1e-5,0.01499,0.00947,20,19,111,110,"highest genre unchanged (tragedy: 1.50 % → 0.95 %, -37 %)"
30,"Constables, justices and the watch",A Tale of a Tub,comedy,0.435,comedy,0.00858,romance,0.00487,0.12116,romance,0.00428,comedy,0.00428,0.17706,0.00858,0.00428,14,13,151,150,highest genre changes: comedy → romance (comedy: 0.86 % → 0.43 %; romance: 0.49 %)
39,"Profit, conscience and dishonest dealing",The Three Ladies of London,moral,0.375,moral,0.04086,masque,0.00293,0.00087,moral,0.02212,masque,0.00293,0.01397,0.04086,0.02212,5,4,28,27,"highest genre unchanged (moral: 4.09 % → 2.21 %, -46 %)"
54,"Antony and Cleopatra: love, death and mourning",Antonius (Antony),tragedy,0.355,tragedy,0.00916,comedy,0.00068,0.05291,tragedy,0.00546,comedy,0.00068,0.11317,0.00916,0.00546,8,7,111,110,"highest genre unchanged (tragedy: 0.92 % → 0.55 %, -40 %)"
55,"Fairies, fairy queens and enchanted desire",The Whore of Babylon,other/multi,0.427,pastoral,0.01266,history,0.00188,0.56253,,,,,,,,,,,,"not applicable — the dominant work is in other/multi, outside the tested genres, so omitting it changes nothing here"
59,"Spanish courts: war, honour and courtship","1 Jeronimo, with the Wars of Portugal",tragedy,0.388,tragedy,0.01103,tragicomedy,0.00538,0.01018,tragicomedy,0.00403,tragedy,0.00403,0.01592,0.01103,0.00403,8,7,111,110,highest genre changes: tragedy → tragicomedy (tragedy: 1.10 % → 0.40 %; tragicomedy: 0.54 %)
