work_id,title,author,n_editions,editions,year_first,genre_deep,genre_annals,genre_main,genre_source,play_type_deep,play_type_main,words_mean,cat:included,cat:candidate,cat:contextual_only,cat:pending,cat:unclassified,cat:outlier_hdbscan,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62
195,"Satiromastix, or The Untrussing of the Humorous Poet","Dekker, Thomas",1,444,1602,comedy,comedy,comedy,britdrama,Boys Professional;Adult Professional;Professional,Boys Professional,21675,0.33901,0.0,0.02228,0.04549,0.0,0.59322,0.0,0.0,0.0,0.0,0.02173,0.0,0.0,0.0,0.20171,0.06953,0.0,0.0,0.0,0.02247,0.0,0.0,0.0,0.0,0.0,0.02302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02408,0.0,0.0,0.0,0.0,0.0,0.0,0.02196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02228,0.0,0.0,0.0,0.0
228,Sir Giles Goosecap,"Chapman, George",1,538,1606,comedy,comedy,comedy,britdrama,Boys Professional;Professional,Boys Professional,20368,0.17459,0.0,0.48439,0.04983,0.0,0.29119,0.0,0.0,0.0,0.02445,0.02563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48439,0.0
173,Summer's Last Will and Testament,"Nashe, Thomas",1,396,1600,comedy,comedy,comedy,britdrama,Boys Professional;Professional;Adult Professional,Boys Professional,16500,0.28279,0.0,0.03164,0.0,0.0,0.68558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02945,0.0,0.08703,0.02927,0.0,0.0,0.0,0.0,0.0,0.09188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164,0.0,0.0,0.0,0.0
60,Supposes,"Gascoigne, GeorgeAriosto, Ludovico",1,103,1573,comedy,comedy,comedy,britdrama,Translation;Nonprofessional;University/Inns of Court,Translation,17939,0.22532,0.0,0.0,0.05346,0.0,0.72122,0.02765,0.03289,0.0,0.0854,0.0,0.0,0.02687,0.0,0.0,0.0,0.0,0.05251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,"Technogamia, or The Marriages of the Arts","Holyday, Barten",1,794,1618,comedy,morality,comedy,britdrama,University/Inns of Court;Nonprofessional,University/Inns of Court,31161,0.34623,0.0,0.0,0.03084,0.0,0.62293,0.0,0.0,0.01585,0.06239,0.06133,0.0,0.01422,0.0,0.0,0.0491,0.0,0.0,0.0,0.0,0.0,0.0,0.01598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01617,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03338,0.03084,0.0,0.0,0.0,0.0,0.0
303,The Alchemist,"Jonson, Ben",1,701,1612,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,26190,0.37885,0.0,0.01814,0.05594,0.0,0.54708,0.0,0.0,0.0,0.22596,0.0,0.0,0.05662,0.0,0.01848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05788,0.0,0.0,0.01963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03631,0.01814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,The Antipodes,"Brome, Richard",1,1140,1640,not in BritDrama,comedy,comedy,annals,Adult Professional;Professional,Adult Professional,22031,0.4786,0.0,0.0,0.02283,0.0,0.49857,0.0,0.0,0.0,0.11507,0.0,0.0,0.04557,0.0,0.0,0.15841,0.0,0.02329,0.0,0.02283,0.02279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453,0.0,0.0,0.0,0.02265,0.0,0.0,0.0,0.0,0.02283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227
549,The Ball,"Shirley, James",1,1095,1639,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,17374,0.25711,0.0,0.0,0.02861,0.0,0.71429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14407,0.0,0.0,0.0,0.0,0.05669,0.0,0.0,0.0,0.0,0.0,0.0,0.02855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02861,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,The Bird in a Cage (The Beauties),"Shirley, James",1,1002,1633,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,18412,0.40327,0.0,0.0,0.0,0.0,0.59673,0.37671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,The Blind Beggar of Alexandria (Irus),"Chapman, George",1,310,1598,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,13034,0.30689,0.0,0.0,0.0,0.0,0.69311,0.15375,0.0,0.0,0.0,0.07619,0.0,0.03759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
